location_name,tso,country_hint,lat_lon,resistance_ohm,reactance_ohm,susceptance_us,segment_length_km
PST JOACHIMOW-TD2,PSE,pl,"50.76, 19.32","","","",""
PST Krempermarsch T441A,TENNETGMBH,de,"53.84684, 9.50266","","","",""
PST Krempermarsch T441B,TENNETGMBH,de,"53.84684, 9.50266","","","",""
PST Krempermarsch T442A,TENNETGMBH,de,"53.84684, 9.50266","","","",""
PST Krempermarsch T442B,TENNETGMBH,de,"53.84684, 9.50266","","","",""
PST Lienz LIPST,APG,at,"46.82507, 12.805809","","","",""
PST MIKULOWA-PF1,PSE,pl,"51.09, 15.12","","","",""
PST MIKULOWA-PF2,PSE,pl,"51.09, 15.12","","","",""
PST MIKULOWA-PF3,PSE,pl,"51.09, 15.12","","","",""
PST MIKULOWA-TD1,PSE,pl,"51.09, 15.12","","","",""
PST MIKULOWA-TD2,PSE,pl,"51.09, 15.12","","","",""
PST Meeden PST W,TENNET NL,nl,"53.12, 6.95","","","",""
PST Meeden PST Z,TENNET NL,nl,"53.12, 6.95","","","",""
PST Röhrsdorf 441,50HERTZ,de,"50.859, 12.811","","","",""
PST Röhrsdorf 442,50HERTZ,de,"50.859, 12.811","","","",""
PST Tauern TAPST,APG,at,"47.277609, 12.739695","","","",""
PST Ternitz TEPST,APG,at,"47.707309, 16.064545","","","",""
PST Urechesti 400/220 1,TEL,"","44.971053, 23.256769","","","",""
PST Vierraden 441,50HERTZ,de,"53.0987, 14.2677","","","",""
PST Vierraden 443,50HERTZ,de,"53.0987, 14.2677","","","",""
PST Wuergau T441A,TENNETGMBH,de,"49.98, 11.11","","","",""
PST Wuergau T441B,TENNETGMBH,de,"49.98, 11.11","","","",""
PST Wuergau T442A,TENNETGMBH,de,"49.98, 11.11","","","",""
PST Wuergau T442B,TENNETGMBH,de,"49.98, 11.11","","","",""
PSTMIKULOWA-PF4,PSE,pl,"51.09, 15.12","","","",""
PUISEUX,RTE,fr,"49.0545385722202, 2.01275971778391",0.28,1.86,13.51,4.67
PULAWY,PSE,pl,"51.415, 22.025",2.63,18.07,137.77,46.70
PUSY,RTE,fr,"47.6527033280718, 6.16361222770923",6.72,30.54,205.83,74.10
PUTEAUX,RTE,fr,"48.8771304435458, 2.23541260415397",0.09,0.61,285.84,3.51
PYMONT,RTE,fr,"46.6916382394485, 5.56184787770847",2.28,14.65,108.09,37.47
Padriciano,ELES,si,"45.655654517244, 13.8372036771037",0.34,2.39,16.02,5.76
Paffendorf,AMPRION GMBH,de,"50.963899999999995, 6.60639",0.29,2.68,47.60,10.79
Paks,MAVIR,hu,"46.60520556, 18.84283056",1.13,18.00,217.49,59.27
Pancevo,TEL,"","45.008170133349, 21.404043180000002",2.05,19.18,252.68,68.00
Parchim/Süd,50HERTZ,de,"53.40724, 11.90017",6.95,37.59,605.98,140.90
Paroseni,TEL,"","45.365127, 23.263915",1.60,8.50,55.00,20.00
Pasewalk,50HERTZ,de,"53.518100000000004, 14.044",12.12,44.31,572.40,151.14
Pecs,MAVIR,hu,"46.07723889, 18.30653056","","","",""
Pecs 1,MAVIR,hu,"46.07723889, 18.30653056",2.38,25.61,233.11,81.63
Pecs 2,MAVIR,hu,"46.07723889, 18.30653056",2.38,25.61,233.11,81.63
Pehlin,HOPS,hr,"45.426187111111105, 14.323977511111114",1.58,11.03,74.11,24.61
Pelicanu,TEL,"","44.240157, 27.345657",3.23,30.20,344.90,95.00
Perkata,MAVIR,hu,"47.05261, 18.75438",0.69,11.06,133.64,36.42
Perleberg,50HERTZ,de,"53.0863, 11.8533",2.45,19.38,324.78,75.54
Perleberg - Putlitz,50HERTZ,de,"53.0863, 11.8533",0.97,8.75,146.34,34.21
Pestis,TEL,"","45.800267000000005, 22.923521",0.83,4.73,30.43,11.00
Pfalzdorf,AMPRION GMBH,de,"51.7047, 6.2317",2.34,12.28,173.30,44.05
Pfungstadt,AMPRION GMBH,de,"49.81539999999999, 8.58781",0.01,0.08,1.40,0.32
Philippsburg,TRANSNETBW,de,"49.18571428571429, 8.455714285714285",0.32,4.41,68.27,16.30
Phyrn,APG,at,"47.679199, 14.165754",1.40,7.14,48.73,17.40
Pirach,TENNETGMBH,de,"48.1425866, 12.8199296",2.37,12.63,166.26,40.24
Pitesti Sud,TEL,"","44.807965, 24.912915",0.45,2.70,17.00,6.00
Plat,HOPS,hr,"42.61083, 18.23528",0.43,2.28,14.79,1.32
Plattling,TENNETGMBH,de,"48.77, 12.97",0.00,0.05,0.48,0.12
Pleinting,TENNETGMBH,de,"48.568822166666656, 13.106608",2.53,13.61,182.72,46.44
Plomin,HOPS,hr,"45.13745, 14.16654",2.73,19.04,129.41,46.22
Podlog,HOPS,hr,"46.266924458333335, 15.205190624999998",4.30,25.01,167.29,37.50
Poeppinghausen,AMPRION GMBH,de,"51.58036666666667, 7.270766666666667",1.61,8.96,119.60,31.27
Pongau,APG,at,"47.3839, 13.215340000000001",1.01,19.88,293.71,71.20
Portile de Fier,TEL,"","44.72, 22.57",0.03,0.32,3.31,0.75
Preilack,50HERTZ,de,"52.04135, 14.378425",1.35,10.83,191.57,43.16
Prestice,TENNETGMBH,de,"49.59307342857143, 13.158094857142858",1.19,14.52,244.39,33.79
Prijedor,HOPS,hr,"44.97008, 16.7145",2.27,11.48,75.88,32.40
Prosenice,CEPS,cz,"49.51267886666667, 17.504745566666667",1.10,11.20,134.00,37.70
Pulgar,50HERTZ,de,"51.20720000000001, 12.347",3.26,27.31,441.08,104.40
Pulverdingen,TRANSNETBW,de,"48.91025, 9.0095",0.14,1.74,27.21,12.86
Putlitz/Süd,50HERTZ,de,"53.2505, 12.1089",2.59,28.07,464.58,109.10
QUATRE-SEIGNEURS,RTE,fr,"43.6474464589607, 3.84191688859928",0.09,1.15,700.83,7.80
QUINT,Creos,lu,"49.7813, 6.602055",1.46,7.43,62.83,26.00
QUINTES (LES),RTE,fr,"47.891278771208405, 0.245231374010028",0.33,2.22,16.41,5.56
Quint,AMPRION GMBH,de,"49.8289, 6.70278",3.90,20.86,273.20,72.09
R. Sobota,SEPS,sk,"48.479834, 20.04496",2.65,28.86,350.66,93.70
R.Sobota,SEPS,sk,"48.370519779999995, 20.318884165",0.69,8.07,90.03,27.80
RABATAU,RTE,fr,"43.2769468846905, 5.39716958264888",0.71,4.30,463.67,14.10
RADKOWICE,PSE,pl,"50.79, 20.52",1.19,8.82,61.74,21.00
RAIE-TORTUE,RTE,fr,"48.79503876495687, 2.2576850258736063",0.22,0.84,661.65,6.25
RANCE-POSTE,RTE,fr,"48.61710759247901, -2.03254927918279",6.32,28.58,198.17,16.18
RANVILLE,RTE,fr,"49.2164107822043, -0.281744794723562",0.45,3.02,21.35,7.49
RASSUEN,RTE,fr,"43.4940910132988, 4.96744484713878",1.03,6.36,216.61,17.68
RDK7,TRANSNETBW,de,"48.95, 8.24",0.01,0.15,1.79,0.50
RDK8,TRANSNETBW,de,"48.95, 8.24",0.02,0.16,2.80,0.50
REALTOR,RTE,fr,"43.45560384728279, 5.352099667005758",0.41,2.77,19.81,6.97
RECLAW,PSE,pl,"53.85, 14.63",4.12,30.66,214.63,0.00
RECOUVRANCE,RTE,fr,"47.0766088426958, -1.23495801883104",0.74,5.82,3282.96,35.44
RECY,RTE,fr,"48.9946663572031, 4.34101800735124",1.60,10.64,74.27,26.24
REMISE,RTE,fr,"49.296126177833, 1.9385959725046198",1.16,7.76,95.54,19.88
REVIGNY,RTE,fr,"48.8181604679862, 4.99683394530964",0.98,6.52,47.09,16.24
RICHEMONT,RTE,fr,"49.2838859928795, 6.17950632945797",0.25,1.50,10.76,3.77
RIMIERE,ELIA,be,"50.544809244444444, 5.475474044444444",0.10,1.16,744.18,10.00
RIORGES,RTE,fr,"46.0580261919877, 4.05599179373235",3.02,20.20,146.74,50.75
RIVENEUVE,RTE,fr,"43.1206567096837, 1.64118087599303",3.29,14.92,99.19,35.58
RIVIERE (LA),RTE,fr,"45.41330629451161, 4.40516361281027",2.46,11.38,73.97,27.12
RODENHUIZE,ELIA,be,"51.13609640000001, 3.7820607",0.01,0.14,0.00,0.20
ROGNAC,RTE,fr,"43.5075494627301, 5.21771038629995",0.85,5.62,40.93,14.04
ROGOWIEC,PSE,pl,"51.32666666666666, 19.336666666666666",1.93,14.04,99.34,33.80
ROKITNICA,PSE,pl,"50.37, 18.77",1.18,13.33,150.22,41.80
ROLAMPONT,RTE,fr,"47.9233572966128, 5.29013449522883",6.72,30.54,205.83,74.10
ROM,RTE,fr,"46.3240499933509, 0.145769062692963",0.97,12.74,211.48,48.87
ROMAINVILLE,RTE,fr,"47.97949027476357, 2.8716533545004737",0.16,0.64,280.00,5.30
ROMSEE,ELIA,be,"50.620457666666674, 5.667224066666667",0.00,0.05,0.00,1.00
ROMSEE SNCB,ELIA,be,"50.624526, 5.670707",0.00,0.05,0.00,1.00
ROOST,Creos,lu,"49.776, 6.083",1.02,5.14,44.27,17.60
ROOST ,Creos,lu,"49.776, 6.083000000000001",0.78,3.96,33.62,13.40
ROQUEROUSSE,RTE,fr,"43.6733897805234, 5.10106513224521",1.75,8.02,55.32,19.64
ROSIERES,RTE,fr,"48.2618711394026, 4.0542636300333",2.31,12.39,84.04,30.11
ROSPEZ,RTE,fr,"48.724382352235, -3.4031315452948",3.28,21.74,158.09,54.58
ROUGEMONTIER,RTE,fr,"49.352550435764066, 0.7441975273975943",1.42,9.53,68.33,23.80
ROUSSON,RTE,fr,"48.0945989767478, 3.27857329181228",3.82,17.30,119.93,42.58
ROUVROY,ELIA,be,"49.5494436, 5.5065479",0.05,0.28,2.00,0.70
ROYE,RTE,fr,"49.6940132026135, 2.80070250009088",0.65,4.45,32.67,11.27
ROZKI,PSE,pl,"51.345000000000006, 21.055",2.99,21.07,158.04,53.10
RUEYRES,RTE,fr,"44.7811332500644, 2.69094528914137",0.16,2.76,19.49,0.00
RULHAT,RTE,fr,"45.821162026365606, 3.27769599285034",0.36,2.33,16.29,5.75
RZESZOW,PSE,pl,"50.19, 21.87",6.33,113.60,1604.00,114.20
Ragow,50HERTZ,de,"51.88199999999999, 13.9117",4.00,32.63,585.44,130.74
Rahman,TEL,"","44.81, 28.27",1.66,16.89,230.00,55.30
Raitersaich,TENNETGMBH,de,"49.38909090909092, 10.84909090909091",0.68,6.05,113.29,24.63
Rath,AMPRION GMBH,de,"51.2686, 6.80896",0.19,1.66,31.90,6.95
Ratsbusch,AMPRION GMBH,de,"51.545100000000005, 7.510149999999999",0.10,0.58,5.90,1.77
Raureni,TEL,"","45.121476, 24.379435",0.90,5.10,33.00,12.00
Redipuglia,ELES,si,"45.8442727721769, 13.4829704386439",0.61,7.14,96.75,24.35
Redwitz,TENNETGMBH,de,"50.30947142857143, 11.215928571428572",0.46,5.40,96.66,21.31
Regensburg,TENNETGMBH,de,"49.01, 12.105",1.87,14.84,99.72,35.82
Remptendorf,TENNETGMBH,de,"50.524033333333335, 11.63272222222222",3.02,19.71,339.54,77.55
Remptendorf - Großschwabhausen,50HERTZ,de,"50.5336, 11.6465",3.00,19.63,338.10,77.55
Reporyje,CEPS,cz,"50.0182617, 14.3308189",0.69,8.21,113.00,29.50
Resita,TEL,"","45.316872333333336, 21.900641333333333",2.05,19.18,252.68,68.00
Retezat,TEL,"","45.344273, 22.734039",0.98,13.80,137.00,41.00
Reuter,50HERTZ,de,"52.5366, 13.253900000000002",0.15,1.69,690.21,7.55
Rhede,TENNETGMBH,de,"53.05, 7.26",0.00,0.05,0.09,0.02
Rheinau,AMPRION GMBH,de,"49.45080000000001, 8.55738",0.79,6.79,117.70,27.00
Rheinhausen,AMPRION GMBH,de,"51.3917, 6.72167",0.38,1.97,19.40,5.90
Ried,AMPRION GMBH,de,"49.705, 8.426",0.01,0.08,1.40,0.33
Rilland,TENNET NL,nl,"51.4148825, 4.234530749999999",0.09,0.98,6.74,6.60
Robbenplaat,TENNET NL,nl,"53.44, 6.88",0.00,0.05,0.13,0.04
Rohrsdorf,CEPS,cz,"50.68575, 12.98315",1.23,10.94,174.50,29.60
Roman Nord,TEL,"","46.965757, 26.896377",2.06,19.44,193.00,58.00
Rommersheim,AMPRION GMBH,de,"50.1944, 6.4371",0.71,6.09,105.40,24.19
Rommerskirchen,AMPRION GMBH,de,"51.023450000000004, 6.71625",0.16,2.65,60.60,12.09
Rosegg,APG,at,"46.567744, 14.027058",0.43,4.92,64.40,59.20
Rosenblumendelle,AMPRION GMBH,de,"51.4436, 6.9487",0.30,2.85,47.80,11.14
Rosiori,TEL,"","47.71212033333333, 23.224096333333335",2.02,19.03,189.18,39.00
Rotensohl,TRANSNETBW,de,"48.74, 10.22",0.52,5.44,86.55,20.40
Roxel,AMPRION GMBH,de,"51.9703, 7.54559",1.49,12.78,222.70,50.94
Ruhrzink,AMPRION GMBH,de,"51.6222, 7.32472",0.09,0.70,4.80,1.74
Röhrsdorf,50HERTZ,de,"50.864000000000004, 12.815999999999999",2.65,19.84,385.79,82.81
S. Mitrovica,HOPS,hr,"45.01624, 19.61193",1.46,15.17,164.29,51.53
S. Nova Ves,SEPS,sk,"48.964551, 20.534912",1.72,17.66,222.22,58.30
SACLAY (PLATEAU),RTE,fr,"48.7203696935596, 2.20029409857124",0.17,0.86,322.23,5.10
SAINNEVILLE,RTE,fr,"49.5519592490858, 0.274783299321434",0.62,3.47,275.83,11.37
SAINT HUBERT,RTE,fr,"49.3001500211171, 6.1347810961325",0.25,1.50,10.76,3.77
SAINTES,RTE,fr,"45.7513417884151, -0.612796373985447",0.67,4.49,51.05,11.33
SANDOUVILLE,RTE,fr,"49.4756044574101, 0.295394744208984",0.88,5.88,42.04,14.61
SANEM,ELIA,be,"49.5378727, 5.9057456",0.09,0.31,2.14,1.52
SANILHAC,RTE,fr,"45.1433569417306, 0.68604418208534",4.22,19.18,131.02,46.67
SANSSAC (L'EGLISE),RTE,fr,"45.0447658693089, 3.80035323207057",1.34,6.03,41.36,14.69
SAONE,RTE,fr,"47.2334061344125, 6.13597567607077",0.56,3.20,22.83,7.96
SARRE,RTE,fr,"45.7711939912776, 3.12039423635682",0.20,1.62,804.68,10.72
SARREGUEMINES,RTE,fr,"49.0955956638931, 7.07740878074307",1.99,10.31,72.97,24.58
SART-TILMAN,ELIA,be,"50.597962333333335, 5.593412466666667",0.02,0.17,1.52,0.40
SAUCATS,RTE,fr,"44.62241170559303, -0.6055077512969894",1.59,17.59,179.91,6.80
SAUMADE,RTE,fr,"43.6231532422531, 3.89514069855686",0.09,1.15,700.83,7.80
SAUSSAZ II (LA),RTE,fr,"45.2100967407781, 6.4763274750715",0.68,3.98,28.00,9.85
SAUSSET,RTE,fr,"48.98118845907027, 2.5808328748442566",0.40,1.99,14.03,4.93
SAUVETERRE-DE-GUYENNE,RTE,fr,"44.7138690415574, -0.086926810555365",0.04,0.12,36.08,0.70
SAVIGNAC,RTE,fr,"45.102703980855, 3.03377140351489",5.11,19.89,125.39,45.79
SCHEER,RTE,fr,"48.3569216838898, 7.519260650264489",1.59,17.98,215.35,0.00
SCHIFFLANGE ,Creos,lu,"49.520639, 6.018971",0.00,0.05,0.19,0.10
SEINE,RTE,fr,"48.9351928956993, 2.3484888499808196",0.49,4.81,74.30,16.39
SEMINAIRE,RTE,fr,"46.535340816343, 3.36112401201401",2.47,16.47,119.15,24.72
SENART,RTE,fr,"48.6086953747792, 2.58480622999688",1.07,7.21,96.42,18.33
SEPTEMES,RTE,fr,"43.404348311008505, 5.36100397118036",0.41,2.77,19.81,6.97
SERAING,ELIA,be,"50.619060100000006, 5.5279391",0.15,1.01,7.03,2.50
SEREIN,RTE,fr,"47.88976227800223, 3.7444795295888933",0.84,5.61,40.56,13.94
SERRE-PONCON,RTE,fr,"44.469273075215, 6.268480635012769",1.06,6.73,48.93,17.20
SERRIERES,RTE,fr,"45.8872241984738, 5.84170713877562",1.98,8.50,56.00,20.27
SETIER,RTE,fr,"49.8430515980836, 3.3460071963739",2.40,11.20,74.75,27.06
SEUIL,RTE,fr,"49.453384355028, 4.43324621393046",0.49,8.35,145.66,33.00
SIEDLCE UJRZANOW,PSE,pl,"52.13, 22.320000000000004",2.58,27.14,357.78,98.80
SIERENTZ,RTE,fr,"47.65248962417399, 7.478287672999856",1.30,10.70,89.40,0.30
SIERSZA,PSE,pl,"50.178, 19.438",0.88,6.19,51.20,15.70
SIRMIERE,RTE,fr,"46.6339384991889, -1.41238560942423",4.01,27.34,200.91,43.19
SISTERON,RTE,fr,"44.2121423444815, 5.92147505879341",3.51,16.91,119.67,42.22
SKAWINA,PSE,pl,"49.982499999999995, 19.8125",2.21,12.18,74.96,28.40
SLUPSK,PSE,pl,"54.504, 16.894",0.02,0.05,0.01,12.50
SOCHACZEW,PSE,pl,"52.23, 20.26",2.00,14.93,96.20,35.60
SOISSONS-NOTRE-DAME,RTE,fr,"49.3560348592305, 3.32019378352975",1.11,5.35,37.00,13.16
SOLEIL (LE),RTE,fr,"45.46553086331131, 4.4125429006535395",0.89,5.96,42.86,14.86
SORRUS,RTE,fr,"50.4555991532177, 1.72164619899653",2.65,12.05,83.55,29.72
SOULLANS,RTE,fr,"46.7946175944276, -1.87718588061762",2.60,17.49,124.37,43.41
SQUIVIDAN,RTE,fr,"48.0175033347544, -4.05328543950331",1.52,10.24,75.06,26.10
ST ETIENNE DU ROUVRAY,RTE,fr,"49.378487152845196, 1.11479931070527",0.54,3.65,26.12,9.07
ST-AUBAN,RTE,fr,"44.0737596654332, 6.00260283508546",5.04,18.11,112.99,42.09
ST-AUBIN,RTE,fr,"48.7303986635637, 2.14333331877223",0.41,1.31,634.94,10.81
ST-AVOLD,RTE,fr,"49.17295049101872, 6.721535851677464",1.67,7.68,99.77,20.32
ST-CALAIS,RTE,fr,"47.9179714623802, 0.728878278754788",2.35,15.74,112.46,39.24
ST-CESAIRE,RTE,fr,"43.818671699367364, 4.342850744311097",1.24,8.27,70.22,21.71
ST-CHAMAS,RTE,fr,"43.5273977217014, 5.07162430545869",0.85,5.62,40.93,14.04
ST-CHRISTOL,RTE,fr,"43.7043342246012, 4.0694796555491",3.42,11.74,72.01,27.16
ST-ELOI,RTE,fr,"46.9910202799557, 3.21209837801827",0.69,4.61,59.49,12.10
ST-ESTEVE,RTE,fr,"43.6931641047349, 5.3847810645603",1.44,9.43,65.78,23.31
ST-FLORENT,RTE,fr,"46.316554415502296, -0.464470865726189",0.64,4.30,31.06,10.77
ST-JULIEN,RTE,fr,"49.1525505197754, 6.21255743027747",0.43,2.90,20.77,7.20
ST-MARD,ELIA,be,"50.619060100000006, 5.5279391",0.05,0.28,2.00,0.70
ST-MARD SNCB,ELIA,be,"49.561049999999994, 5.523395",0.00,0.05,0.00,1.00
ST-ORENS,RTE,fr,"43.5527762391051, 1.51102555712196",0.72,4.70,57.67,11.94
ST-PIERRE-DE-BAILLEUL,RTE,fr,"49.1270998452918, 1.37217470261514",2.54,16.97,119.23,41.85
ST-VICTOR,RTE,fr,"44.05123585460941, 2.80431822230414",3.91,22.50,162.00,55.12
ST-VINCENT,RTE,fr,"43.37282432413671, 3.22266715907882",0.26,0.76,229.03,4.44
ST-VULBAS-EST,RTE,fr,"45.7980873968132, 5.26170808683238",1.26,8.46,60.67,21.06
ST-VULBAS-OUEST,RTE,fr,"45.81082542198641, 5.275057791306869",3.57,39.29,397.61,2.84
STALOWA WOLA,PSE,pl,"50.59, 22.07",2.74,20.55,130.70,48.70
STANISLAWOW,PSE,pl,"52.385000000000005, 21.055",0.56,6.42,69.94,19.80
STARNO,PSE,pl,"56.15, 14.83",0.02,0.05,0.01,12.50
STE-FEYRE,RTE,fr,"46.1966810106101, 1.9211812910957",3.92,16.52,120.26,41.63
STE-TULLE,RTE,fr,"43.7838830625857, 5.77484104303569",0.70,5.57,37.20,13.30
STENAY,RTE,fr,"49.5099575660979, 5.20020929740699",2.55,17.61,128.16,44.90
STEVIN,ELIA,be,"51.31898828571428, 3.1904932857142856",0.13,1.90,18.42,8.00
SUPER-BISSORTE,RTE,fr,"45.2025580778821, 6.57770859595939",0.04,0.22,28.34,1.00
SW Weibern,APG,at,"48.18399600000001, 13.712836",0.43,4.87,69.05,17.10
SWIEBODZICE,PSE,pl,"50.86000000000001, 16.360000000000003",2.23,32.29,413.10,97.60
Saarwellingen,AMPRION GMBH,de,"49.37030000000001, 6.7749999999999995",0.11,0.48,3.70,1.27
Sacalaz,TEL,"","45.760293, 21.159561",1.70,10.30,66.00,25.00
Sajoivanka,SEPS,sk,"48.334081706666666, 20.41019222",0.69,8.07,90.03,27.80
Sajoszoged,MAVIR,hu,"47.94608333000001, 20.975552779999997",1.48,8.76,49.64,19.48
Sala,SEPS,sk,"48.189043, 17.924484",1.82,11.49,75.02,27.55
Salaj,TEL,"","47.20336, 23.209133",1.92,11.34,73.00,27.00
Salzach,APG,at,"47.81107000000001, 12.995635",0.61,2.99,20.77,7.30
Salzburg,APG,at,"47.883229, 13.086006",0.64,11.67,202.10,45.30
Sandershausen/O,TENNETGMBH,de,"51.33, 9.57",0.00,0.05,0.08,0.02
Sandorfalva,TEL,"","46.281774824, 20.379790248",1.69,17.90,185.60,55.00
Sarasdorf,APG,at,"48.036046, 16.699705",0.63,8.78,108.01,28.70
Sardanesti,TEL,"","44.769878, 23.352964",5.14,28.34,182.00,65.90
Sattledt,APG,at,"48.051023, 14.073044",0.30,3.33,47.25,11.70
Schaerding,APG,at,"48.444767, 13.452802",3.12,14.40,107.07,36.60
Schmölln,50HERTZ,de,"51.130500000000005, 14.2293",1.00,9.39,163.05,36.55
Schuby/W,TENNETGMBH,de,"54.53000000000001, 9.44",0.35,6.46,125.74,26.82
Schwandorf,TENNETGMBH,de,"49.303333333333335, 12.087333333333333",2.36,26.49,342.72,89.48
Schwarzenbach,APG,at,"47.27855, 12.58359",0.65,16.93,219.44,56.70
Schwelgern,AMPRION GMBH,de,"51.5133, 6.74111",0.10,0.54,6.80,1.83
Schwoerstadt,TRANSNETBW,de,"47.72, 7.85",0.56,2.93,35.66,9.60
Schönewalde,50HERTZ,de,"51.8288, 13.157",0.25,2.06,36.28,7.95
Sechtem,AMPRION GMBH,de,"50.8067, 6.98306",0.35,3.44,53.90,13.01
Selbeck,AMPRION GMBH,de,"51.3746, 6.86833",0.41,3.99,65.40,15.43
Senica,CEPS,cz,"48.66587645, 17.391888",1.25,12.99,166.50,54.38
Senj,HOPS,hr,"44.99182, 14.90072",1.24,6.66,41.62,15.53
Setzer Wiese,AMPRION GMBH,de,"50.9336, 8.03056",1.00,4.63,84.40,18.88
Sibiu Sud,TEL,"","45.791571142857144, 24.146171142857145",2.42,24.00,242.00,72.00
Siedenbrünzow,50HERTZ,de,"53.9129, 13.148399999999999",2.59,28.07,464.58,109.10
Siegburg,AMPRION GMBH,de,"50.8138, 7.206869999999999",0.93,5.28,61.10,17.15
Siems,TENNETGMBH,de,"53.9, 10.79",0.16,1.10,725.71,9.99
Siersdorf,TENNET NL,nl,"50.9125, 6.21556",0.50,4.88,81.80,10.50
Silz,TENNETGMBH,de,"47.28333333333334, 10.973333333333334",0.09,1.14,15.51,7.84
Simbach,APG,at,"48.26666666666667, 13.006666666666666",0.15,0.76,5.53,1.90
Siroka,SEPS,sk,"49.257575, 19.34888",2.44,15.00,105.56,37.20
Sisak,HOPS,hr,"45.500613, 16.379553",3.23,16.85,114.17,60.80
Sittling,TENNETGMBH,de,"48.858, 11.797999999999998",3.36,16.87,383.90,147.07
Slatina,TEL,"","44.463283, 24.413424000000003",1.26,7.47,93.05,23.30
Slavetice,CEPS,cz,"48.91785, 16.0664631",1.04,14.27,187.50,42.80
Smardan,TEL,"","45.469104, 27.955163",1.20,11.36,113.00,34.00
Sokolnice,SEPS,sk,"49.1206709, 16.701622399999998",1.79,19.38,234.12,71.43
Sostanj,ELES,si,"46.37416666666667, 15.05139444444445",0.40,4.22,45.88,12.96
Sottrum,TENNETGMBH,de,"53.1275, 9.2575",2.61,10.05,131.55,33.81
Spellen,AMPRION GMBH,de,"51.62636666666666, 6.623336666666667",0.40,2.17,28.50,7.51
St. Barbara,AMPRION GMBH,de,"49.3633, 7.24611",3.12,16.67,716.50,104.36
St. Huelfe,AMPRION GMBH,de,"52.619299999999996, 8.4134",0.01,0.36,403.70,12.00
St. Peter (AT),APG,at,"48.118933, 13.145648",0.15,0.76,5.53,1.90
St. Peter (DE),AMPRION GMBH,de,"51.1327, 6.810219999999999",0.59,7.26,115.90,27.70
St. Peter (DE-TenneT),TENNETGMBH,de,"48.213621999999994, 13.069765333333335",0.49,3.17,23.66,7.51
Stade/W,TENNETGMBH,de,"53.629999999999995, 9.53",0.91,16.92,331.70,69.70
Stadorf,TENNETGMBH,de,"52.995000000000005, 10.385000000000002",2.53,21.76,382.27,85.80
Stalldorf,TENNETGMBH,de,"49.685, 10.01225",0.54,6.26,113.60,50.14
Stalpu,TEL,"","45.076044, 26.716754",1.90,17.90,178.00,53.00
Stanislawow,PSE,pl,"52.38, 21.05",2.15,30.30,411.12,104.10
Stejaru,TEL,"","46.921853, 26.176708",2.40,14.20,91.00,34.00
Stendal/West,50HERTZ,de,"52.5809, 11.73878",1.18,9.63,160.82,37.25
Stockach,TRANSNETBW,de,"47.91, 8.59",16.73,347.37,69.72,0.00
Stockem,AMPRION GMBH,de,"50.8272, 7.09514",0.00,0.05,0.40,0.14
Streumen,50HERTZ,de,"51.36469999999999, 13.390300000000002",2.65,19.84,385.79,82.81
Stuparei,TEL,"","45.042417, 24.28721",0.90,5.10,33.00,12.00
Stupava,SEPS,sk,"48.305827, 17.03047",1.04,12.02,191.42,45.20
Stupina,TEL,"","44.558312, 28.198732",0.97,14.24,203.61,51.09
Subotica,MAVIR,hu,"46.0395, 19.71442",0.72,8.15,81.05,20.64
Sucany,SEPS,sk,"49.09451514285714, 18.97888514285714",0.52,5.49,68.86,18.80
Suceava,TEL,"","47.619254, 26.24402",3.53,33.34,331.00,99.50
Suedburgenland,APG,at,"47.251446, 16.277179",1.63,27.76,480.35,107.80
Suederdonn,TENNETGMBH,de,"53.980000000000004, 9.116999999999999",0.30,5.47,105.09,22.62
Sugag,TEL,"","45.822549, 23.611035",3.34,19.74,127.00,47.00
Szabolcsbaka,MAVIR,hu,"48.14669, 22.16724",2.22,34.81,420.97,19.08
Szeged,MAVIR,hu,"46.27492, 20.13934",6.52,47.92,195.70,113.85
Szigetcsep,MAVIR,hu,"47.27567, 18.94335",0.45,5.77,73.83,19.50
Szolnok,MAVIR,hu,"47.204775, 20.15134444",1.33,15.44,150.80,46.16
Szombathely,MAVIR,hu,"47.466491780000005, 16.783930886666667",1.77,19.46,235.31,125.90
Szombathely 1,MAVIR,hu,"47.22989167, 16.67865833",2.23,24.42,278.41,77.80
Szombathely 2,MAVIR,hu,"47.22989167, 16.67865833",2.23,24.42,278.41,77.80
T HAL-BYC,PSE,pl,"50.23, 18.85",1.15,8.07,58.80,20.40
T HAL-BYĆ,PSE,pl,"50.23, 18.85",0.93,6.53,58.84,16.60
T JOA-LAG,PSE,pl,"50.76, 19.32",0.32,2.43,15.29,5.70
TABARDERIE,RTE,fr,"47.76058309004122, 2.549992608180894",1.84,26.46,334.57,29.66
TALAMET,RTE,fr,"44.9669268957948, 1.94876863465445",2.49,16.52,120.06,41.49
TAMAREAU,RTE,fr,"43.644034244465395, 3.7272753138431907",0.68,4.55,59.89,11.66
TARASCON,RTE,fr,"42.8514279777589, 1.5971110593595401",1.64,6.39,44.49,15.77
TARNOW,PSE,pl,"49.97, 20.96",2.30,23.14,320.08,82.00
TAUTE,RTE,fr,"49.2208833161526, -1.3425720771022",0.28,3.68,61.14,14.00
TAVEL,RTE,fr,"44.033554369132766, 4.662148533518974",0.65,4.32,31.09,10.61
TE Sisak,HOPS,hr,"45.50727966666667, 16.386219666666666",3.56,18.44,120.12,44.00
